coordinates,createdAt,created_at,customPrice,id,imageUrls,images,isUploaded,itemId,localImagePaths,pickupId,product.id,product.name,product.price,product.unit,quantity,supervisorPhoneNumber,totalPrice,weight,predicted_class,confidence,ensemble_details,blip_description,detection_method
,2025-04-21,,,0061ac75-cdc5-4a47-b51f-083c01023e2a,,,,,,6942255a-379e-496f-b107-9b8257a8b825,3oLK5ypJloMBXwdrR0OJ,Brass,3105.0,weight,5.0,8888899999.0,21424.5,6.9,,0.0,,,
,2025-04-22,,,016f83cc-18a7-4f27-b2bd-275e469a8939,,,,,,c6bfbc58-5791-4f94-bd74-9dc29076f95f,3oLK5ypJloMBXwdrR0OJ,Brass,4500.0,weight,5.0,8888899999.0,45000.0,10.0,,0.0,,,
,2025-05-20T13:43:21.032,,,03cnDTWn5OHdISqkFSrK,,,False,,/data/user/0/com.example.picker_app/cache/822344cf-a3a9-41ea-8457-19fef1ace9bf758822791408149742.jpg,,XQRzaEKu3O5EekUvBl1l,Metal Appliances Medium (Motor / Ceiling Fan),35.0,WEIGHT,7.4,,259.0,0.0,,0.0,,,
,2025-05-20T13:43:21.032,,,03k9TXWdfo3zImbRsCtK,,,False,,/data/user/0/com.example.picker_app/cache/822344cf-a3a9-41ea-8457-19fef1ace9bf758822791408149742.jpg,,XQRzaEKu3O5EekUvBl1l,Metal Appliances Medium (Motor / Ceiling Fan),35.0,WEIGHT,7.4,,259.0,0.0,,0.0,,,
,2025-06-04T12:02:38.986,,,04CmAmbuq0RkWJHz5iLs,https://firebasestorage.googleapis.com/v0/b/scrapuncle-452708.firebasestorage.app/o/items%2F1749019412565.jpg?alt=media&token=f38d6f26-7418-4e46-bb3c-c8c2ede32aac,,True,,/data/user/0/com.example.picker_app/cache/a0af24ec-d65e-425e-9fdc-a482911c56365117559021230129744.jpg,,FdfqthDCzeLk7HNolUtD,Books,12.0,WEIGHT,3.15,,37.8,0.0,a photo of a DVD case,0.20243839919567108,4 models used,a black table with a clock on it,object_detection
,2025-05-20T13:46:31.976,,2.0,04ybOExtbL5Kx7pFYS64,,,False,,/data/user/0/com.example.picker_app/cache/c34a99d4-40a7-4214-b81e-b517555ec7166150127312144819137.jpg,,damble.2,damble,2.0,weight,0.0,,24.2,12.1,,0.0,,,
,2025-06-01T14:17:14.542,,,05PYeBJy8JiBWyeLd8GY,https://firebasestorage.googleapis.com/v0/b/scrapuncle-452708.firebasestorage.app/o/items%2F1748767769644.jpg?alt=media&token=f040c3e8-a597-43be-911a-01b44a672e62,,True,,/data/user/0/com.example.picker_app/cache/88781f67-878f-4c05-9abe-1585801a59fa7011217363740015194.jpg,,mrGEyUw17Rt6ftWJFC2H,Plastic,8.0,WEIGHT,12.4,,99.2,0.0,a phot of polythene bag of scrap,0.12146370643749833,4 models used,a dirty floor with a trash bag and a baseball bat,object_detection
,2025-05-20T13:44:14.203,,,05x3imogjEFtJK3klWG1,,,False,,/data/user/0/com.example.picker_app/cache/89163edb-e382-40ca-8776-579f1d3138fe8861089034986183958.jpg,,eoufky9iVJEjhYYpkjA1,Aluminium,105.0,WEIGHT,4.1,,430.5,0.0,,0.0,,,
,2025-05-20T13:46:31.976,,2.0,06IFnADqBk2i6mFmyq1p,,,False,,/data/user/0/com.example.picker_app/cache/c34a99d4-40a7-4214-b81e-b517555ec7166150127312144819137.jpg,,damble.2,damble,2.0,weight,0.0,,24.2,12.1,,0.0,,,
,2025-05-20T13:49:07.465,,,06gAfy6oFqN83pljyeAu,https://firebasestorage.googleapis.com/v0/b/scrapuncle-452708.firebasestorage.app/o/items%2F1747732592738.jpg?alt=media&token=955ef250-1924-4386-9ef2-ea772b12dccd,,False,,/data/user/0/com.example.picker_app/cache/23f7c010-2795-49d5-8409-f1f48412a4722686840344295114900.jpg,,FdfqthDCzeLk7HNolUtD,Books,12.0,WEIGHT,2.8,,33.599999999999994,0.0,a photo of a used inverter battery,0.2103092312812805,4 models used,a small scale with a box of food on it,object_detection
